X,Y,Z,R
0.000000,0.721552,-1.221318,1.70
0.000000,-0.721552,-1.221318,1.70
0.000000,1.405133,-2.475756,1.70
0.000000,-1.405133,-2.475755,1.70
0.000000,0.712415,-3.653814,1.70
0.000000,-0.712415,-3.653814,1.70
0.000000,1.401925,-0.000000,1.70
0.000000,0.721552,1.221318,1.70
0.000000,-1.401925,-0.000000,1.70
0.000000,-0.721552,1.221318,1.70
0.000000,2.490205,-2.474673,1.20
0.000000,2.487784,-0.000000,1.20
0.000000,-2.487784,-0.000000,1.20
0.000000,-2.490205,-2.474673,1.20
0.000000,-1.244190,-4.598599,1.20
0.000000,1.244190,-4.598599,1.20
0.000000,1.405133,2.475755,1.70
0.000000,0.712415,3.653814,1.70
0.000000,-1.405133,2.475755,1.70
0.000000,-0.712415,3.653814,1.70
0.000000,2.490205,2.474673,1.20
0.000000,1.244190,4.598599,1.20
0.000000,-1.244190,4.598599,1.20
0.000000,-2.490205,2.474674,1.20
