X,Y,Z,R
0.000000,-1.388303,-3.438104,1.70
0.000001,-0.428202,-4.442719,1.70
0.000000,0.939908,-4.130604,1.70
-0.000000,1.365549,-2.811400,1.70
-0.000000,0.415645,-1.779995,1.70
-0.000000,-0.963623,-2.110521,1.70
-0.000001,0.586744,-0.357296,1.70
-0.000001,-0.586744,0.357296,1.70
-0.000000,-2.002819,-0.678236,1.80
-0.000001,2.002819,0.678236,1.80
0.000000,0.963623,2.110521,1.70
-0.000000,-0.415645,1.779995,1.70
0.000001,1.388303,3.438104,1.70
0.000001,0.428202,4.442719,1.70
0.000000,-0.939908,4.130604,1.70
-0.000000,-1.365549,2.811400,1.70
0.000001,-2.444156,-3.681888,1.20
0.000001,-0.742544,-5.479852,1.20
0.000000,1.670586,-4.930929,1.20
-0.000001,2.422567,-2.570521,1.20
0.000001,2.444156,3.681888,1.20
0.000001,0.742544,5.479852,1.20
0.000000,-1.670586,4.930929,1.20
-0.000001,-2.422567,2.570521,1.20
