X,Y,Z,R
0.000199,-2.059900,-0.516021,1.80
0.000141,-0.556792,0.401000,1.70
-0.000020,0.281616,-1.811385,1.70
-0.000067,2.217822,-2.745903,1.20
0.000054,2.562879,-5.194310,1.20
0.000181,1.639725,-7.485525,1.20
0.000091,-0.827027,-7.845198,1.20
-0.000179,-2.366730,-5.913934,1.20
-0.000178,-2.740228,-3.470099,1.20
-0.000101,-0.794464,-4.425235,1.70
-0.000083,-1.290371,-5.758918,1.70
0.000040,-0.432132,-6.832981,1.70
0.000107,0.972389,-6.628121,1.70
0.000024,1.487260,-5.354153,1.70
-0.000052,1.141274,-2.898685,1.70
-0.000059,0.630448,-4.215962,1.70
-0.000075,-1.665670,-3.306991,1.70
-0.000049,1.139424,2.035647,1.70
0.000089,2.740225,3.470117,1.20
-0.000004,2.366748,5.913891,1.20
-0.000109,0.827025,7.845196,1.20
0.000023,-1.639707,7.485539,1.20
0.000038,-2.562868,5.194325,1.20
0.000139,-2.217835,2.745928,1.20
0.000009,-0.630453,4.215969,1.70
0.000013,-1.487255,5.354157,1.70
0.000006,-0.972373,6.628126,1.70
-0.000003,0.432148,6.832977,1.70
-0.000014,1.290383,5.758909,1.70
0.000005,0.794450,4.425239,1.70
0.000010,1.665665,3.306981,1.70
0.000016,-1.141281,2.898679,1.70
-0.000281,2.059892,0.516005,1.80
0.000066,0.556773,-0.401000,1.70
0.000010,-0.281634,1.811381,1.70
0.000016,-1.139426,-2.035644,1.70
