X,Y,Z,R
-0.0,0.723254,-1.229078,1.7
-0.0,-0.723254,-1.229078,1.7
-0.0,1.403241,-2.483661,1.7
-0.0,-1.403241,-2.483661,1.7
-0.0,0.708008,-3.658249,1.7
-0.0,-0.708008,-3.658249,1.7
0.0,1.389984,1e-06,1.7
0.0,0.723253,1.229079,1.7
-0.0,-1.389984,1e-06,1.7
-0.0,-0.723253,1.229079,1.7
-0.0,2.738084,-2.541628,1.47
0.0,2.728828,0.0,1.47
-0.0,-2.728828,0.0,1.47
-0.0,-2.738084,-2.541628,1.47
-0.0,-1.342235,-4.830425,1.47
0.0,1.342235,-4.830425,1.47
0.0,1.403241,2.483664,1.7
0.0,0.708006,3.658249,1.7
-0.0,-1.403241,2.483664,1.7
-0.0,-0.708006,3.658249,1.7
0.0,2.738085,2.541623,1.47
-0.0,-2.738085,2.541623,1.47
0.0,1.342231,4.830427,1.47
-0.0,-1.342231,4.830427,1.47
