X,Y,Z,R
0.000000,0.726832,-3.671276,1.70
0.000000,-0.726832,-3.671276,1.70
0.000000,1.408733,-4.933593,1.70
0.000000,-1.408734,-4.933593,1.70
0.000000,0.716047,-6.106357,1.70
0.000000,-0.716047,-6.106356,1.70
0.000000,1.406391,-2.463317,1.70
0.000000,0.727597,-1.224029,1.70
0.000000,-1.406391,-2.463317,1.70
0.000000,-0.727597,-1.224029,1.70
0.000000,2.493762,-4.933260,1.20
0.000000,2.492108,-2.463929,1.20
0.000000,-2.492107,-2.463928,1.20
0.000000,-2.493762,-4.933260,1.20
0.000000,-1.245295,-7.052528,1.20
0.000000,1.245295,-7.052528,1.20
0.000000,1.406886,-0.000000,1.70
0.000000,0.727596,1.224030,1.70
0.000000,-1.406886,-0.000000,1.70
0.000000,-0.727597,1.224030,1.70
0.000000,2.492509,-0.000000,1.20
0.000000,-2.492507,-0.000000,1.20
0.000000,1.406391,2.463317,1.70
0.000000,0.726832,3.671276,1.70
0.000000,-1.406391,2.463317,1.70
0.000000,-0.726832,3.671276,1.70
0.000000,2.492108,2.463929,1.20
0.000000,-2.492107,2.463928,1.20
0.000000,1.408733,4.933592,1.70
0.000000,0.716046,6.106357,1.70
0.000000,-1.408733,4.933592,1.70
0.000000,-0.716046,6.106357,1.70
0.000000,2.493761,4.933260,1.20
0.000000,1.245295,7.052527,1.20
0.000000,-1.245296,7.052527,1.20
0.000000,-2.493761,4.933260,1.20
